순서,파일명 토큰 예시,manifest 컬럼,의미,고유값 수,데이터 확인 결과,값 분포 (이미지 수/클립 수)
1,"Suwon, Inje",site,"촬영 지역명 (수원, 인제 등)",10,"Suwon(49), Gangneung(31), Jeonju(28), Busan(27), Chungju(24), Buan(23), Cheonan(18), Hongcheon(17) 외 2종","Suwon 5,514/49 · Busan 3,303/27 · Jeonju 3,282/28 · Gangneung 3,237/31 · Chungju 2,697/24 · Buan 2,431/23 · Cheonan 2,221/18 · Hongcheon 1,745/17 · Jincheon 982/8 · Inje 177/1"
2,"CH01~CH10, injetunnel2",channel,카메라 채널 번호 또는 촬영 지점(터널명 등),49,"지역당 1~10개 · 'CHxx' 형식은 Suwon, 나머지 지역은 지점명(교량·터널 등)",namioverpass 853/7 · deungcheon 756/7 · wichon2brdg 724/7 · gudeog 720/6 · CH10 698/5 · jeongeub 681/6 · CH09 649/5 · sangwoo1brdg 633/5 · taeinshelter(seoul) 632/5 · busanportbrdg6 629/5 · busanportbrdg3 624/5 · jongsin 621/5 · seongnam2 617/5 · busanportbrdg4 609/5 · ogsan 609/5 · nodong1brdg 604/5 · CH07 600/5 · jogogli 596/5 · gangdong2brdg 590/5 · CH01 550/5 · CH02 550/5 · CH05 550/5 · CH08 546/5 · CH06 545/5 · gwanggyeog1brdg 532/5 · chujeomtunnel(changwon) 531/5 · gangjeong 516/4 · busanportbrdg2 507/4 · busanportbrdg5 502/4 · sangpyeongoverpass 493/4 · guljitunnel 489/4 · danpyeong1brdg 480/4 · sajeong 479/4 · nodong 471/4 · seomgangbrdg 467/5 · soju2brdg 465/4 · chujeomtunnel(yangpyeong) 457/5 · hyangho1brdg 455/5 · CH03 448/4 · busanportbrdg1 432/4 · yeji 398/5 · hyangho2brdg 393/5 · yulchon 392/4 · daemog 379/3 · CH04 378/5 · wonchang4brdg 257/3 · injetunnel2 177/1 · dongjisan 176/2 · jangam 129/1
3,20200722,date,촬영 날짜 (YYYYMMDD),15,"20200720 ~ 20201213, 15일","20201021 7,503/68 · 20201020 6,836/61 · 20201019 2,256/20 · 20200721 1,499/12 · 20200720 1,379/10 · 20201029 1,250/10 · 20201027 742/6 · 20201028 726/6 · 20201010 694/7 · 20201012 644/5 · 20200722 600/10 · 20201119 585/5 · 20201011 399/4 · 20201213 299/1 · 20201210 177/1"
4,1500,time,"촬영 시각 (HHMM, 24시간제)",46,"0700 ~ 2149 · 3시간 구간별: 07-09(35), 10-12(41), 13-15(62), 16-18(55), 19-21(33)","1730 1,751/15 · 1630 1,624/14 · 1530 1,603/14 · 1030 1,323/11 · 1330 1,179/10 · 1300 1,135/10 · 1130 1,134/10 · 1430 1,128/10 · 1500 1,072/11 · 0930 980/8 · 1800 903/8 · 1600 894/9 · 1400 857/7 · 1700 780/6 · 0830 755/7 · 1000 677/6 · 1900 676/7 · 1100 651/6 · 1230 619/6 · 0800 573/6 · 0730 516/6 · 2030 516/4 · 0900 485/4 · 1830 450/3 · 2000 315/3 · 0958 299/1 · 1930 260/3 · 1200 257/2 · 0700 213/2 · 0956 177/1 · 2130 150/1 · 1955 150/1 · 2140 149/1 · 2012 145/1 · 2023 100/1 · 2038 100/1 · 2059 100/1 · 2020 100/1 · 2058 100/1 · 1932 100/1 · 1938 100/1 · 2149 100/1 · 2022 100/1 · 1957 99/1 · 2145 98/1 · 1945 96/1"
5,"WED, THU, SAT",weekday,요일 (영문 약자),6,"MON(35), TUE(85), WED(78), THU(16), SAT(7), SUN(5)","TUE 9,803/85 · WED 8,103/78 · MON 4,279/35 · THU 2,012/16 · SUN 698/5 · SAT 694/7"
6,"9m, 4.8m",cam_height,카메라 설치 높이,5,"4.8m(1), 8m(27), 9m(49), 10m(12), 15m(137)","15m 15,222/137 · 9m 5,514/49 · 8m 3,303/27 · 10m 1,373/12 · 4.8m 177/1"
7,NH / RH,hour_type,정의 미확인 코드 — 상행/하행(진행 방향) 구분 또는 혼잡 시간대(Rush Hour)로 추정. 같은 카메라에서도 촬영건마다 값이 바뀜 (10_nh_rh_check.png 참고),2,"NH(211), RH(15) · 같은 카메라에서 NH·RH 가 모두 나오는 곳 9개","NH 23,724/211 · RH 1,865/15"
8,highway,road_type,도로 종류 (고속도로),1,전부 highway (값이 하나뿐 → 분할 층화에서 제외),"highway 25,589/226"
9,"TW5, OW5, OW2",lane_config,차로 방향·차로 수로 추정 (TW=양방향 / OW=편도 + 차로 수),5,"TW2(109), TW3(47), OW5(36), OW2(21), TW5(13) · TW 169 / OW 57클립, 차로 수 [2, 3, 5]","TW2 11,988/109 · TW3 5,812/47 · OW5 4,114/36 · OW2 2,275/21 · TW5 1,400/13"
10,"sunny, rainy, snow",weather,촬영 당시 날씨,5,"sunny(205), rainy(13), fog(6), tunnel(1), snow(1)","sunny 23,324/205 · rainy 1,179/13 · fog 610/6 · snow 299/1 · tunnel 177/1"
11,FHD,quality,해상도 등급 (Full HD),2,"FHD → 1080x1920 4,964장, 1920x1080 19,992장 / HD → 1280x720 633장","FHD 24,956/221 · HD 633/5"
12,_005.png,frame,해당 클립에서 추출한 프레임(이미지) 순번 — 이미지 파일명에만 있음,393,000 ~ 597 · 클립당 29~299장,
