image_id,n_car,n_bus,n_truck,n_objects,vehicle_area_ratio,vehicle_area_sum,overlap_ratio
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_000,3,0,1,4,0.026010802469135803,0.026010802469135803,0.0
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_001,4,1,2,7,0.01757716049382716,0.01757716049382716,0.0
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_002,2,0,4,6,0.05422839506172839,0.05422839506172839,0.0
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_003,4,0,1,5,0.013487654320987655,0.013487654320987655,0.0
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_004,1,0,4,5,0.028425925925925927,0.02845679012345679,0.0010845986984815426
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_005,1,0,3,4,0.04470679012345679,0.04470679012345679,0.0
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_006,4,0,4,8,0.02141203703703704,0.02141203703703704,0.0
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_007,4,0,3,7,0.03705246913580247,0.03705246913580247,0.0
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_008,3,0,2,5,0.02655864197530864,0.02683641975308642,0.01035077630822312
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_009,1,0,2,3,0.004012345679012346,0.00404320987654321,0.007633587786259555
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_010,2,0,2,4,0.02185956790123457,0.02185956790123457,0.0
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_011,1,1,0,2,0.0036574074074074074,0.0036574074074074074,0.0
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_012,3,0,3,6,0.031226851851851853,0.031234567901234567,0.000247035573122556
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_013,2,0,2,4,0.010054012345679013,0.010054012345679013,0.0
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_014,1,0,4,5,0.04191358024691358,0.04191358024691358,0.0
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_015,4,0,3,7,0.02587962962962963,0.025949074074074076,0.00267618198037467
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_016,1,0,0,1,0.0026697530864197533,0.0026697530864197533,0.0
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_017,0,0,1,1,0.0019984567901234567,0.0019984567901234567,0.0
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_018,3,0,2,5,0.0045138888888888885,0.004567901234567902,0.011824324324324342
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_019,0,0,1,1,0.0017669753086419753,0.0017669753086419753,0.0
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_020,1,0,4,5,0.015223765432098765,0.015223765432098765,0.0
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_021,5,0,1,6,0.010964506172839505,0.010964506172839505,0.0
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_022,0,1,4,5,0.020455246913580246,0.020455246913580246,0.0
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_023,4,0,2,6,0.05128086419753086,0.05132716049382716,0.0009019843656042914
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_024,5,0,5,10,0.030617283950617285,0.030625,0.0002519526329050059
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_025,2,0,2,4,0.014513888888888889,0.014513888888888889,0.0
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_026,2,0,4,6,0.04970679012345679,0.049868827160493824,0.003249265047191696
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_027,1,1,1,3,0.005455246913580247,0.005455246913580247,0.0
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_028,3,0,0,3,0.004714506172839506,0.004714506172839506,0.0
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_029,2,0,0,2,0.00837962962962963,0.00837962962962963,0.0
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_030,4,0,1,5,0.009722222222222222,0.00984567901234568,0.01253918495297801
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_031,5,0,4,9,0.031026234567901236,0.031126543209876543,0.0032226078334159913
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_032,3,0,1,4,0.029614197530864198,0.029614197530864198,0.0
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_033,1,0,5,6,0.02132716049382716,0.02132716049382716,0.0
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_034,4,1,1,6,0.01695216049382716,0.01699845679012346,0.002723558783477076
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD_035,2,0,1,3,0.03613425925925926,0.03613425925925926,0.0
