scene_id,n_views,clip_id,camera,token,weather,ok,n_carriageways,geo_two_way,two_way_match,main_lanes,lane_exact,lane_within1,lane_source,vp_support,n_points
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD,1,Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD,Buan_daemog,TW2,sunny,True,2,True,True,2/2,True,True,markings/markings,0.972,1113
Buan_daemog_20201020_1130_TUE_15m_NH_highway_TW2_sunny_FHD,1,Buan_daemog_20201020_1130_TUE_15m_NH_highway_TW2_sunny_FHD,Buan_daemog,TW2,sunny,True,2,True,True,2/2,True,True,markings/markings,0.94,611
Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD__view0,2,Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD,Buan_daemog,TW2,sunny,True,2,True,True,2/2,True,True,markings/markings,0.818,619
Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD__view1,2,Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD,Buan_daemog,TW2,sunny,True,2,True,True,2/2,True,True,markings/markings,0.948,510
Buan_dongjisan_20201021_0800_WED_15m_NH_highway_TW2_sunny_FHD,1,Buan_dongjisan_20201021_0800_WED_15m_NH_highway_TW2_sunny_FHD,Buan_dongjisan,TW2,sunny,True,2,True,True,2/2,True,True,markings/markings,0.836,225
Buan_dongjisan_20201021_1300_WED_15m_NH_highway_TW2_sunny_FHD,1,Buan_dongjisan_20201021_1300_WED_15m_NH_highway_TW2_sunny_FHD,Buan_dongjisan,TW2,sunny,True,2,True,True,3/2,False,True,markings/markings,0.819,459
Buan_jongsin_20201019_1600_MON_15m_NH_highway_TW2_sunny_FHD,1,Buan_jongsin_20201019_1600_MON_15m_NH_highway_TW2_sunny_FHD,Buan_jongsin,TW2,sunny,True,2,True,True,2/2,True,True,markings/markings,0.937,695
Buan_jongsin_20201020_1130_TUE_15m_NH_highway_TW2_sunny_FHD,1,Buan_jongsin_20201020_1130_TUE_15m_NH_highway_TW2_sunny_FHD,Buan_jongsin,TW2,sunny,True,2,True,True,3/2,False,True,markings/markings,0.676,850
Buan_jongsin_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD__view0,2,Buan_jongsin_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD,Buan_jongsin,TW2,sunny,True,2,True,True,2/2,True,True,markings/markings,0.92,1076
Buan_jongsin_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD__view1,2,Buan_jongsin_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD,Buan_jongsin,TW2,sunny,True,2,True,True,3/2,False,True,markings/markings,0.864,350
Buan_jongsin_20201021_1030_WED_15m_NH_highway_TW2_sunny_FHD,1,Buan_jongsin_20201021_1030_WED_15m_NH_highway_TW2_sunny_FHD,Buan_jongsin,TW2,sunny,True,2,True,True,1/2,False,True,markings/markings,0.962,1089
Buan_jongsin_20201021_1530_WED_15m_NH_highway_TW2_rainy_FHD,1,Buan_jongsin_20201021_1530_WED_15m_NH_highway_TW2_rainy_FHD,Buan_jongsin,TW2,rainy,True,2,True,True,1/3,False,True,markings/markings,0.775,1288
Buan_soju2brdg_20201020_0800_TUE_15m_NH_highway_TW2_fog_FHD,1,Buan_soju2brdg_20201020_0800_TUE_15m_NH_highway_TW2_fog_FHD,Buan_soju2brdg,TW2,fog,True,2,True,True,2/2,True,True,markings/markings,0.961,137
Buan_soju2brdg_20201020_1300_TUE_15m_NH_highway_TW2_sunny_FHD,1,Buan_soju2brdg_20201020_1300_TUE_15m_NH_highway_TW2_sunny_FHD,Buan_soju2brdg,TW2,sunny,True,2,True,True,2/2,True,True,markings/markings,0.931,1214
Buan_soju2brdg_20201021_0830_WED_15m_NH_highway_TW2_sunny_FHD__view0,2,Buan_soju2brdg_20201021_0830_WED_15m_NH_highway_TW2_sunny_FHD,Buan_soju2brdg,TW2,sunny,True,2,True,True,3/2,False,True,markings/markings,0.866,838
Buan_soju2brdg_20201021_0830_WED_15m_NH_highway_TW2_sunny_FHD__view1,2,Buan_soju2brdg_20201021_0830_WED_15m_NH_highway_TW2_sunny_FHD,Buan_soju2brdg,TW2,sunny,True,2,True,True,3/2,False,True,markings/markings,0.927,66
Buan_soju2brdg_20201021_1330_WED_15m_NH_highway_TW2_sunny_FHD,1,Buan_soju2brdg_20201021_1330_WED_15m_NH_highway_TW2_sunny_FHD,Buan_soju2brdg,TW2,sunny,True,2,True,True,3/2,False,True,markings/markings,0.748,1372
Buan_yeji_20201019_1600_MON_15m_NH_highway_TW2_sunny_FHD,1,Buan_yeji_20201019_1600_MON_15m_NH_highway_TW2_sunny_FHD,Buan_yeji,TW2,sunny,True,2,True,True,3/1,False,True,markings/markings,0.975,202
Buan_yeji_20201020_1100_TUE_15m_NH_highway_TW2_sunny_FHD,1,Buan_yeji_20201020_1100_TUE_15m_NH_highway_TW2_sunny_FHD,Buan_yeji,TW2,sunny,True,2,True,True,2/2,True,True,markings/markings,0.873,121
Buan_yeji_20201021_0730_WED_15m_NH_highway_TW2_sunny_FHD,1,Buan_yeji_20201021_0730_WED_15m_NH_highway_TW2_sunny_FHD,Buan_yeji,TW2,sunny,True,2,True,True,2/2,True,True,markings/markings,0.948,116
Buan_yeji_20201021_1230_WED_15m_NH_highway_TW2_sunny_FHD__view0,2,Buan_yeji_20201021_1230_WED_15m_NH_highway_TW2_sunny_FHD,Buan_yeji,TW2,sunny,True,2,True,True,2/3,False,True,markings/markings,0.957,156
Buan_yeji_20201021_1230_WED_15m_NH_highway_TW2_sunny_FHD__view1,2,Buan_yeji_20201021_1230_WED_15m_NH_highway_TW2_sunny_FHD,Buan_yeji,TW2,sunny,True,2,True,True,2/3,False,True,markings/markings,0.937,121
Buan_yeji_20201021_1730_WED_15m_NH_highway_TW2_rainy_FHD,1,Buan_yeji_20201021_1730_WED_15m_NH_highway_TW2_rainy_FHD,Buan_yeji,TW2,rainy,True,2,True,True,3/2,False,True,markings/markings,0.972,118
