scene_id,group,group_size,is_ref,night,iou_to_ref,shift,region,token,exact_single,within1_single,lanes_single,exact_A,within1_A,lanes_A,exact_B,within1_B,lanes_B,exact_C,within1_C,lanes_C,exact_D,within1_D,lanes_D,exact_E,within1_E,lanes_E,exact_F,within1_F,lanes_F,exact_G,within1_G,lanes_G
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD,0,2,True,False,1.0,0.0,Buan,TW2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2
Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD__view1,0,2,False,False,0.977,1.0,Buan,TW2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2
Buan_daemog_20201020_1130_TUE_15m_NH_highway_TW2_sunny_FHD,1,2,True,False,1.0,0.0,Buan,TW2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2
Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD__view0,1,2,False,False,0.887,4.7,Buan,TW2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2
Buan_dongjisan_20201021_0800_WED_15m_NH_highway_TW2_sunny_FHD,2,1,True,False,1.0,0.0,Buan,TW2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2
Buan_dongjisan_20201021_1300_WED_15m_NH_highway_TW2_sunny_FHD,3,1,True,False,1.0,0.0,Buan,TW2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2
Buan_jongsin_20201021_1030_WED_15m_NH_highway_TW2_sunny_FHD,4,1,True,False,1.0,0.0,Buan,TW2,False,True,1/2,False,True,1/2,False,True,1/2,False,True,1/2,False,True,1/2,False,True,1/2,False,True,1/2,False,True,1/2
Buan_jongsin_20201019_1600_MON_15m_NH_highway_TW2_sunny_FHD,5,1,True,False,1.0,0.0,Buan,TW2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2
Buan_jongsin_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD__view0,6,1,True,False,1.0,0.0,Buan,TW2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2
Buan_jongsin_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD__view1,7,1,True,False,1.0,0.0,Buan,TW2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2
