scene_id,clip_id,lane_id,carriageway,direction,shoulder,frames,mean_count,occ_ground_mean,occ_ground_p90,occ_px_mean
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD,Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD,1,0,toward,True,126,0.0,0.0,0.0,0.0
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD,Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD,2,0,toward,False,126,1.02,0.0466,0.1596,0.0321
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD,Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD,3,0,toward,False,126,1.21,0.0362,0.128,0.0264
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD,Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD,4,1,away,False,126,1.58,0.0234,0.0953,0.0201
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD,Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD,5,1,away,False,126,1.41,0.0248,0.0738,0.0214
Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD,Buan_daemog_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD,6,1,away,True,126,0.04,0.0,0.0,0.0002
Buan_daemog_20201020_1130_TUE_15m_NH_highway_TW2_sunny_FHD,Buan_daemog_20201020_1130_TUE_15m_NH_highway_TW2_sunny_FHD,1,0,toward,False,98,1.14,0.0324,0.0872,0.025
Buan_daemog_20201020_1130_TUE_15m_NH_highway_TW2_sunny_FHD,Buan_daemog_20201020_1130_TUE_15m_NH_highway_TW2_sunny_FHD,2,0,toward,False,98,2.01,0.0347,0.1214,0.0424
Buan_daemog_20201020_1130_TUE_15m_NH_highway_TW2_sunny_FHD,Buan_daemog_20201020_1130_TUE_15m_NH_highway_TW2_sunny_FHD,3,1,away,False,98,0.85,0.0283,0.1232,0.0188
Buan_daemog_20201020_1130_TUE_15m_NH_highway_TW2_sunny_FHD,Buan_daemog_20201020_1130_TUE_15m_NH_highway_TW2_sunny_FHD,4,1,away,False,98,1.32,0.0565,0.2353,0.0437
Buan_daemog_20201020_1130_TUE_15m_NH_highway_TW2_sunny_FHD,Buan_daemog_20201020_1130_TUE_15m_NH_highway_TW2_sunny_FHD,5,1,away,True,98,0.04,0.0,0.0,0.0
Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD__view0,Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD,1,0,toward,False,74,1.2,0.0286,0.0751,0.027
Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD__view0,Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD,2,0,toward,False,74,2.84,0.0662,0.1834,0.0557
Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD__view0,Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD,3,1,away,False,74,1.03,0.0325,0.1147,0.0315
Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD__view0,Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD,4,1,away,False,74,1.3,0.069,0.308,0.0453
Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD__view0,Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD,5,1,away,True,74,0.08,0.0,0.0,0.0
Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD__view1,Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD,1,0,toward,True,51,0.0,0.0,0.0,0.0
Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD__view1,Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD,2,0,toward,False,51,1.29,0.0548,0.1962,0.038
Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD__view1,Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD,3,0,toward,False,51,1.18,0.035,0.1119,0.033
Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD__view1,Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD,4,1,away,False,51,2.0,0.04,0.1252,0.0252
Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD__view1,Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD,5,1,away,False,51,1.33,0.0217,0.066,0.021
Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD__view1,Buan_daemog_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD,6,1,away,True,51,0.02,0.0002,0.0,0.0004
Buan_dongjisan_20201021_0800_WED_15m_NH_highway_TW2_sunny_FHD,Buan_dongjisan_20201021_0800_WED_15m_NH_highway_TW2_sunny_FHD,1,0,toward,True,65,0.0,0.0,0.0,0.0
Buan_dongjisan_20201021_0800_WED_15m_NH_highway_TW2_sunny_FHD,Buan_dongjisan_20201021_0800_WED_15m_NH_highway_TW2_sunny_FHD,2,0,toward,False,65,0.54,0.0456,0.1901,0.0289
